index,recordDate,recordTime,recordEpoch,district,locationName,nearbyPlace,longitude,latitude,elevation,direction,county,route,routeSuffix,postmilePrefix,postmile,alignment,milepost,inService,imageDescription,streamingVideoURL,currentImageUpdateFrequency,currentImageURL,referenceImageUpdateFrequency,referenceImage1UpdateAgoURL,referenceImage2UpdatesAgoURL,referenceImage3UpdatesAgoURL,referenceImage4UpdatesAgoURL,referenceImage5UpdatesAgoURL,referenceImage6UpdatesAgoURL,referenceImage7UpdatesAgoURL,referenceImage8UpdatesAgoURL,referenceImage9UpdatesAgoURL,referenceImage10UpdatesAgoURL,referenceImage11UpdatesAgoURL,referenceImage12UpdatesAgoURL
1,2021-07-22,06:50:03,1626961803,1,"SR-20 : At SR-1 - Looking East (C020)","Fort Bragg",-123.80779,39.42002,95,East,Mendocino,SR-20,,R,0.01,,0.01,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/sr20atsr1lookingeast.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20atsr1lookingeast/previous/sr20atsr1lookingeast-12.jpg
9,2024-05-07,09:43:18,1715100198,1,"SR-20 : West Of US-101 - Looking East (C007)",Willits,-123.36904,39.40581,1437,East,Mendocino,SR-20,,,32.21,,32.16,true,,,10,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/sr20westofus101lookingeast.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingeast/previous/sr20westofus101lookingeast-12.jpg
11,2024-05-07,09:43:32,1715100212,1,"SR-20 : West Of US-101 - Looking West (C007)",Willits,-123.36904,39.40581,1437,East,Mendocino,SR-20,,,32.21,,32.16,true,,,10,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/sr20westofus101lookingwest.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofus101lookingwest/previous/sr20westofus101lookingwest-12.jpg
14,2024-03-05,09:40:38,1709660438,1,"SR-20 : East Of US-101 - Looking East (C006)",Ukiah,-123.16703,39.2378,839,West,Mendocino,SR-20,,,35.68,,35.57,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/sr20eastofus101lookingeast.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingeast/previous/sr20eastofus101lookingeast-12.jpg
16,2024-03-05,09:41:00,1709660460,1,"SR-20 : East Of US-101 - Looking West (C006)",Ukiah,-123.16703,39.2378,839,West,Mendocino,SR-20,,,35.68,,35.57,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/sr20eastofus101lookingwest.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20eastofus101lookingwest/previous/sr20eastofus101lookingwest-12.jpg
18,2023-01-10,08:10:13,1673367013,1,"SR-20 : West Of SR-29 - Looking East (C009)","Upper Lake",-122.929788,39.167204,1361,East,Lake,SR-20,,,7.78,,51.73,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/sr20westofsr29lookingeast.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingeast/previous/sr20westofsr29lookingeast-12.jpg
20,2023-01-10,08:11:59,1673367119,1,"SR-20 : West Of SR-29 - Looking West (C009)","Upper Lake",-122.929788,39.167204,1361,East,Lake,SR-20,,,7.78,,51.73,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/sr20westofsr29lookingwest.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/sr20westofsr29lookingwest/previous/sr20westofsr29lookingwest-12.jpg
22,2023-06-29,13:49:22,1688071762,1,"US-101 : North Of SR-20 - Looking North (C001)","Redwood Valley",-123.211287,39.250296,774,South,Mendocino,US-101,,R,31.6,,555.36,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/us101northofsr20lookingnorth.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingnorth/previous/us101northofsr20lookingnorth-12.jpg
24,2023-06-29,13:49:57,1688071797,1,"US-101 : North Of SR-20 - Looking South (C001)","Redwood Valley",-123.211287,39.250296,774,South,Mendocino,US-101,,R,31.6,,555.36,true,,,15,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/us101northofsr20lookingsouth.jpg,60,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101northofsr20lookingsouth/previous/us101northofsr20lookingsouth-12.jpg
32,2024-03-29,17:09:41,1711757381,1,"US-101 : S of SR 271 - Looking South (C030)",Piercy,-123.776812,39.939376,849,South,Mendocino,US-101,,R,101.54,,623.95,true,,,10,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/us101sofsr271lookingsouth.jpg,10,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-1.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-2.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-3.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-4.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-5.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-6.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-7.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-8.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-9.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-10.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-11.jpg,https://cwwp2.dot.ca.gov/data/d1/cctv/image/us101sofsr271lookingsouth/previous/us101sofsr271lookingsouth-12.jpg
